Index,Left offset,Top offset,Right offset,Bottom offset,Index of palm class
1,50226,8073,50301,8149,5
2,51460,8121,51547,8210,3
3,51465,8227,51553,8315,3
4,51474,8360,51562,8448,3
5,51469,8472,51556,8560,3
6,51462,8588,51562,8689,3
7,51465,8712,51552,8800,3
8,51366,8752,51466,8852,3
9,51267,8799,51379,8912,3
10,51265,8687,51378,8800,3
11,51264,8571,51377,8684,3
12,51262,8458,51374,8571,3
13,51268,8355,51381,8468,3
14,51269,8237,51381,8350,3
15,51292,8137,51379,8225,3
16,51371,8100,51459,8188,3
17,51360,8182,51472,8295,3
18,51374,8286,51474,8386,3
19,51361,8408,51474,8522,3
20,51365,8540,51465,8641,6
21,51354,8635,51467,8748,3
22,51190,8095,51290,8196,3
23,51177,8182,51290,8295,3
24,51173,8288,51286,8402,3
25,51174,8396,51287,8510,3
26,51170,8513,51270,8614,3
27,51171,8629,51271,8730,3
28,51165,8739,51277,8852,3
29,51070,8797,51182,8910,3
30,51088,8127,51188,8227,3
31,51081,8228,51193,8342,3
32,51077,8335,51189,8448,3
33,51079,8447,51192,8560,3
34,51071,8569,51171,8670,3
35,51081,8694,51168,8782,3
36,50983,8742,51083,8843,3
37,50982,8082,51094,8195,3
38,50984,8183,51084,8283,3
39,50985,8288,51085,8388,3
40,50980,8390,51080,8491,3
41,50989,8500,51089,8600,3
42,50982,8625,51082,8725,3
43,50883,8679,50983,8780,3
44,50888,8090,51000,8203,3
45,50884,8216,50996,8329,3
46,50879,8321,50992,8435,3
47,50883,8432,50983,8532,3
48,50892,8554,50992,8655,3
49,50787,8054,50900,8167,3
50,50793,8173,50893,8274,3
51,50788,8272,50901,8385,3
52,50784,8388,50897,8501,3
53,50789,8509,50889,8609,3
54,50785,8616,50898,8729,3
55,50781,8727,50881,8828,3
56,50686,8108,50799,8221,3
57,50685,8224,50798,8337,3
58,50695,8342,50795,8443,3
59,50687,8448,50800,8561,3
60,50689,8561,50801,8674,3
61,50692,8680,50792,8781,3
62,50691,8771,50804,8885,3
63,50585,8730,50698,8843,3
64,50593,8614,50706,8727,3
65,50595,8500,50707,8613,3
66,50594,8381,50706,8494,3
67,50600,8278,50700,8379,3
68,50598,8169,50710,8282,3
69,50600,8052,50713,8165,3
70,50514,8014,50601,8102,3
71,50492,8109,50604,8222,3
72,50502,8198,50602,8299,3
73,50514,8268,50601,8356,3
74,50488,8325,50600,8438,3
75,50501,8452,50613,8565,3
76,50491,8547,50604,8661,6
77,50494,8667,50606,8781,3
78,50497,8771,50609,8884,3
79,50405,8727,50505,8827,3
80,50391,8609,50503,8722,3
81,50404,8491,50517,8605,3
82,50398,8381,50510,8494,3
83,50396,8272,50509,8385,3
84,50399,8165,50512,8278,3
85,50404,8050,50504,8151,3
86,50304,8109,50404,8209,3
87,50297,8217,50410,8330,3
88,50293,8326,50406,8439,3
89,50300,8443,50412,8557,3
90,50300,8550,50412,8663,3
91,50298,8671,50398,8771,3
92,50201,8720,50314,8834,3
93,50206,8606,50318,8719,3
94,50202,8495,50314,8608,3
95,50207,8383,50307,8484,3
96,50203,8270,50316,8383,3
97,50207,8151,50320,8265,3
98,50123,8013,50198,8089,3
99,50110,8116,50210,8217,3
100,50117,8222,50217,8322,3
101,50115,8335,50215,8436,3
102,50115,8445,50215,8546,3
103,50115,8560,50202,8648,3
104,50106,8654,50219,8767,3
105,50106,8785,50206,8886,3
106,50009,8729,50109,8830,3
107,50010,8603,50122,8716,3
108,50016,8493,50116,8594,3
109,50013,8378,50125,8491,3
110,50010,8265,50123,8378,3
111,50015,8154,50128,8267,3
112,50026,8058,50126,8158,3
113,50300,8787,50400,8887,3
114,51463,8826,51551,8914,3
115,51463,8937,51551,9025,3
116,51462,9041,51549,9129,3
117,51465,9163,51553,9251,3
118,51465,9268,51553,9356,3
119,51464,9367,51551,9455,3
120,51460,9483,51547,9571,3
121,51358,9540,51445,9628,3
122,51366,9421,51453,9510,3
123,51366,9319,51453,9407,3
124,51359,9175,51459,9276,3
125,51352,9079,51465,9192,3
126,51357,8970,51457,9071,3
127,51359,8859,51472,8972,3
128,51262,8902,51362,9003,3
129,51263,9035,51363,9136,3
130,51250,9128,51363,9241,3
131,51249,9230,51362,9344,3
132,51268,9359,51356,9447,3
133,51265,9476,51353,9564,3
134,51167,9432,51242,9507,3
135,51171,9304,51259,9392,3
136,51154,9177,51266,9290,3
137,51164,9085,51264,9185,3
138,51158,8962,51271,9076,3
139,51176,8853,51276,8953,3
140,51064,8905,51177,9018,3
141,51064,9019,51164,9120,3
142,51067,9135,51167,9236,3
143,51071,9256,51158,9344,3
144,51072,9375,51160,9463,3
145,51065,9478,51153,9567,3
146,50970,9433,51058,9521,3
147,50969,9317,51056,9405,3
148,50955,9199,51068,9313,3
149,50959,9067,51072,9181,3
150,50969,8956,51081,9069,3
151,50977,8842,51089,8956,3
152,50878,8792,50990,8905,3
153,50879,8910,50991,9023,3
154,50868,8998,50981,9111,3
155,50865,9135,50965,9236,3
156,50875,9245,50975,9346,3
157,50870,9360,50970,9461,3
158,50862,9477,50962,9578,3
159,50759,9530,50859,9631,3
160,50758,9412,50870,9526,3
161,50759,9291,50872,9404,3
162,50767,9178,50880,9291,3
163,50774,9070,50887,9183,3
164,50784,8851,50896,8965,3
165,50770,8961,50883,9074,3
166,50671,9017,50783,9130,3
167,50684,8898,50797,9011,3
168,50589,8843,50689,8944,3
169,50584,8958,50696,9071,3
170,50582,9068,50695,9182,3
171,50576,9164,50688,9278,3
172,50579,9251,50692,9364,3
173,50575,9349,50688,9463,3
174,50579,9475,50692,9588,3
175,50681,9469,50781,9570,3
176,50676,9353,50776,9454,3
177,50663,9230,50775,9343,3
178,50680,9131,50780,9231,3
179,50488,9004,50601,9118,6
180,50488,8875,50601,8988,3
181,50500,9124,50600,9225,3
182,50502,9216,50602,9316,3
183,50511,9297,50611,9398,3
184,50506,9388,50606,9488,3
185,50507,9502,50607,9603,3
186,50396,9530,50509,9644,3
187,50391,9409,50504,9522,3
188,50396,9257,50496,9358,3
189,50397,9162,50496,9263,3
190,50402,9058,50502,9159,3
191,50397,8948,50497,9049,3
192,50392,8826,50504,8939,3
193,50298,8889,50398,8990,3
194,50299,9017,50399,9118,3
195,50301,9113,50401,9214,3
196,50302,9208,50402,9308,3
197,50296,9358,50396,9459,3
198,50299,9483,50387,9571,3
199,50202,9525,50302,9625,3
200,50194,9415,50294,9516,3
201,50211,9306,50298,9394,3
202,50212,9164,50300,9253,3
203,50209,9052,50309,9152,3
204,50197,8939,50310,9052,3
205,50199,8827,50311,8940,3
206,50103,8891,50216,9004,3
207,50105,8995,50217,9108,3
208,50104,9114,50204,9215,3
209,50109,9243,50196,9331,3
210,50100,9349,50200,9449,3
211,50105,9479,50192,9567,3
212,50016,9422,50091,9498,3
213,50002,9290,50102,9391,3
214,50001,9171,50101,9272,3
215,50012,9055,50112,9156,3
216,50010,8950,50110,9051,3
217,50013,8841,50113,8942,3
218,50027,9547,50077,9597,5
219,51451,9592,51551,9693,3
220,51451,9710,51551,9810,3
221,51449,9821,51536,9909,3
222,51450,9937,51550,10038,3
223,51445,10045,51545,10146,3
224,51448,10178,51536,10266,3
225,51556,10005,51606,10056,5
226,51557,10121,51607,10172,3
227,51556,10245,51606,10295,5
228,51359,9648,51447,9736,3
229,51360,9770,51448,9859,3
230,51351,9876,51451,9977,3
231,51357,9992,51445,10080,3
232,51355,10082,51442,10170,3
233,51358,10225,51446,10313,3
234,51250,10157,51350,10258,3
235,51244,10014,51331,10102,3
236,51259,9937,51347,10025,3
237,51248,9803,51348,9903,3
238,51262,9698,51350,9787,3
239,51270,9593,51345,9668,3
240,51176,9547,51251,9623,3
241,51177,9650,51252,9726,3
242,51159,9760,51259,9861,3
243,51155,9873,51255,9974,3
244,51162,9990,51249,10078,3
245,51150,10105,51250,10206,3
246,51065,10162,51152,10250,3
247,51057,10046,51157,10147,3
248,51064,9937,51151,10025,3
249,51069,9819,51157,9908,3
250,51073,9710,51161,9798,3
251,51081,9598,51156,9673,3
252,50969,9542,51056,9630,3
253,50973,9640,51060,9728,3
254,50971,9769,51059,9857,3
255,50970,9874,51057,9962,3
256,50965,9974,51065,10075,3
257,50971,10096,51058,10185,3
258,50873,10159,50960,10247,3
259,50877,10044,50964,10132,3
260,50867,9921,50967,10022,3
261,50873,9807,50961,9895,3
262,50870,9698,50970,9799,3
263,50875,9602,50962,9690,3
264,50764,9637,50864,9738,3
265,50766,9757,50866,9858,3
266,50766,9862,50866,9963,3
267,50770,9982,50857,10070,3
268,50763,10093,50863,10193,3
269,50762,10211,50862,10312,3
270,50679,10161,50754,10237,3
271,50589,10224,50664,10299,3
272,50676,10276,50751,10351,3
273,50666,9589,50766,9690,3
274,50666,9696,50766,9796,3
275,50678,9823,50753,9898,3
276,50673,9931,50761,10019,3
277,50673,10040,50761,10128,3
278,50580,10095,50668,10183,3
279,50583,9987,50671,10075,3
280,50582,9874,50669,9962,3
281,50579,9767,50667,9855,3
282,50586,9652,50674,9741,3
283,51157,10217,51245,10305,3
284,51058,10273,51158,10373,3
285,50958,10205,51058,10305,3
286,50868,10251,50968,10352,3
287,50004,9646,50104,9746,3
288,49996,9740,50096,9841,3
289,50003,9864,50103,9965,3
290,49995,9972,50108,10086,3
291,50000,10088,50100,10188,3
292,49999,10188,50111,10301,3
293,50097,10150,50185,10238,6
294,50093,10020,50193,10121,3
295,50101,9915,50201,10015,3
296,50100,9817,50188,9905,3
297,50100,9688,50200,9789,3
298,50103,9581,50191,9669,3
299,50199,9643,50299,9744,3
